Protein FDR Confidence: Combined	Master	Accession	Description	Contaminant	Sum PEP Score	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	# AAs	MW [kDa]	calc. pI	Score Sequest HT: Sequest HT	# Peptides (by Search Engine): Sequest HT	Biological Process	Cellular Component	Molecular Function	Pfam IDs	Entrez Gene ID	Ensembl Gene ID	Gene Symbol	Chromosome	KEGG Pathways	Reactome Pathways	WikiPathways	# Protein Pathway Groups	Abundance Ratio: (T48h) / (T0)	Abundance Ratio: (T96h) / (T0)	Abundance Ratio: (T96h) / (T48h)	Abundance Ratio (log2): (T48h) / (T0)	Abundance Ratio (log2): (T96h) / (T0)	Abundance Ratio (log2): (T96h) / (T48h)	Abundance Ratio P-Value: (T48h) / (T0)	Abundance Ratio P-Value: (T96h) / (T0)	Abundance Ratio P-Value: (T96h) / (T48h)	Abundance Ratio Adj. P-Value: (T48h) / (T0)	Abundance Ratio Adj. P-Value: (T96h) / (T0)	Abundance Ratio Adj. P-Value: (T96h) / (T48h)	Found in Sample: [S28] F4: 126, Sample, T0, P1	Found in Sample: [S31] F4: 127N, Sample, T0, P2	Found in Sample: [S32] F4: 128N, Sample, T0, P3	Found in Sample: [S29] F5: 126, Sample, T0, P1	Found in Sample: [S39] F5: 127N, Sample, T0, P2	Found in Sample: [S40] F5: 128N, Sample, T0, P3	Found in Sample: [S30] F6: 126, Sample, T0, P1	Found in Sample: [S47] F6: 127N, Sample, T0, P2	Found in Sample: [S48] F6: 128N, Sample, T0, P3	Found in Sample: [S33] F4: 128C, Sample, T48h, P1	Found in Sample: [S34] F4: 129N, Sample, T48h, P2	Found in Sample: [S35] F4: 129C, Sample, T48h, P3	Found in Sample: [S41] F5: 128C, Sample, T48h, P1	Found in Sample: [S42] F5: 129N, Sample, T48h, P2	Found in Sample: [S43] F5: 129C, Sample, T48h, P3	Found in Sample: [S49] F6: 128C, Sample, T48h, P1	Found in Sample: [S50] F6: 129N, Sample, T48h, P2	Found in Sample: [S51] F6: 129C, Sample, T48h, P3	Found in Sample: [S36] F4: 130N, Sample, T96h, P1	Found in Sample: [S37] F4: 130C, Sample, T96h, P2	Found in Sample: [S38] F4: 131, Sample, T96h, P3	Found in Sample: [S44] F5: 130N, Sample, T96h, P1	Found in Sample: [S45] F5: 130C, Sample, T96h, P2	Found in Sample: [S46] F5: 131, Sample, T96h, P3	Found in Sample: [S52] F6: 130N, Sample, T96h, P1	Found in Sample: [S53] F6: 130C, Sample, T96h, P2	Found in Sample: [S54] F6: 131, Sample, T96h, P3	# Protein Groups
High	Master Protein	Q9UQN3	Charged multivesicular body protein 2b OS=Homo sapiens OX=9606 GN=CHMP2B PE=1 SV=1	FAUX	3.515	5	1	1	1	213	23.9	8.76	2.56	1	"cell communication;cell organization and biogenesis;cellular homeostasis;metabolic process;regulation of biological process;response to stimulus;transport"	"cytoplasm;cytosol;endosome;membrane;vacuole"	protein binding	Pf03357	25978	ENSG00000083937.8	CHMP2B	3	Endocytosis	"Budding and maturation of HIV virion; Macroautophagy; Endosomal Sorting Complex Required For Transport (ESCRT)"		12	0.955	0.772	0.783	-0.07	-0.37	-0.35	0.546022832	0.56534892	0.603409588	0.92820607	0.962609766	0.991557151	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	1
High	Master Protein	Q9NZT2	Opioid growth factor receptor OS=Homo sapiens OX=9606 GN=OGFR PE=1 SV=3	FAUX	3.512	2	1	1	1	677	73.3	4.84	1.97	1	"regulation of biological process;response to stimulus"	"cytoplasm;extracellular;membrane;nucleus"	"protein binding;receptor activity;signal transducer activity"	Pf04652, Pf04664, Pf05518, Pf05616, Pf05887, Pf06333, Pf07174, Pf09786, Pf12238, Pf15279, Pf15325	11054	ENSG00000060491.16	OGFR	20				0	1.048	1.739	1.659	0.07	0.8	0.73	0.969328657	0.094373914	0.026532492	0.998387812	0.490787841	0.239771943	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	1
High	Master Protein	sp	IL8_HUMAN	VRAI	3.504	16	1	3	1	99	11.1	8.84	6.16	1												0	0.588	0.78	1.361	-0.77	-0.36	0.44	0.00011685	0.58571544	0.134920596	0.001648316	0.968486678	0.650613945	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	Q9UH65	Switch-associated protein 70 OS=Homo sapiens OX=9606 GN=SWAP70 PE=1 SV=1	FAUX	3.498	3	2	2	2	585	69	5.87	2.29	2	"cell organization and biogenesis;cellular homeostasis;metabolic process;regulation of biological process"	"cytoplasm;cytoskeleton;membrane;nucleus"	"DNA binding;metal ion binding;nucleotide binding;protein binding"	Pf00169, Pf15413	23075	ENSG00000133789.14	SWAP70	11				0	0.669	0.524	0.731	-0.58	-0.93	-0.45	0.002513789	0.0994442	0.440645798	0.02651225	0.504126451	0.94847618	High	High	High	High	High	High	Not Found	Not Found	Not Found	High	High	High	High	High	High	Not Found	Not Found	Not Found	High	High	High	High	High	High	Not Found	Not Found	Not Found	1
High	Master Protein	Q9BYT8	Neurolysin, mitochondrial OS=Homo sapiens OX=9606 GN=NLN PE=1 SV=1	FAUX	3.495	2	1	1	1	704	80.6	6.64	3.24	1	"metabolic process;regulation of biological process"	"cytoplasm;extracellular;membrane;mitochondrion"	"catalytic activity;metal ion binding"	Pf01432	57486	ENSG00000123213.22	NLN	5	Renin-angiotensin system	Peptide ligand-binding receptors		6	0.595	0.6	1.016	-0.75	-0.74	0.02	0.000188337	0.20318622	0.666129889	0.002576227	0.748109785	0.991557151	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	1
High	Master Protein	O15371	Eukaryotic translation initiation factor 3 subunit D OS=Homo sapiens OX=9606 GN=EIF3D PE=1 SV=1	FAUX	3.489	2	1	3	1	548	63.9	6.05	6.99	1	"cell organization and biogenesis;metabolic process;regulation of biological process"	"cytoplasm;cytosol;membrane"	"protein binding;RNA binding"	Pf05091	8664	ENSG00000100353.17	EIF3D	22	RNA transport	"Formation of the ternary complex, and subsequently, the 43S complex; L13a-mediated translational silencing of Ceruloplasmin expression; Translation initiation complex formation; GTP hydrolysis and joining of the 60S ribosomal subunit; Formation of a pool of free 40S subunits; Ribosomal scanning and start codon recognition"	Translation Factors	13	1.181	1.173	0.994	0.24	0.23	-0.01	0.425525688	0.55975972	0.726431923	0.871087428	0.962609766	0.991557151	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	Q9Y2J2	Band 4.1-like protein 3 OS=Homo sapiens OX=9606 GN=EPB41L3 PE=1 SV=2	FAUX	3.487	1	1	1	1	1087	120.6	5.19	1.98	1	"cell death;cell organization and biogenesis;regulation of biological process"	"cytoplasm;cytoskeleton;cytosol;membrane"	"protein binding;structural molecule activity"	Pf00373, Pf04382, Pf05902, Pf08736, Pf09379, Pf09380	23136	ENSG00000082397.17	EPB41L3	18	Tight junction	Neurexins and neuroligins		4	1.099	0.829	0.653	0.14	-0.27	-0.61	0.861649313	0.705236437	0.237393455	0.997016351	0.990871106	0.808047983	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	1
High	Master Protein	Q92520	Protein FAM3C OS=Homo sapiens OX=9606 GN=FAM3C PE=1 SV=1	FAUX	3.478	7	1	1	1	227	24.7	8.29	3.61	1	"cell differentiation;cell organization and biogenesis;cell proliferation;development;regulation of biological process;response to stimulus;transport"	"cytoplasm;extracellular;organelle lumen"	protein binding		"10447; 51384"	ENSG00000196937.10	"FAM3C; WNT16"	7		Platelet degranulation	"Wnt Signaling Pathway and Pluripotency; Wnt Signaling Pathway; DNA Damage Response (only ATM dependent)"	7	1.095	1.417	1.295	0.13	0.5	0.37	0.905159573	0.268312967	0.188874622	0.998387812	0.852806781	0.743961644	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	1
High	Master Protein	P00374	Dihydrofolate reductase OS=Homo sapiens OX=9606 GN=DHFR PE=1 SV=2	FAUX	3.472	7	2	3	2	187	21.4	7.42	3.76	2	"cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus"	"cytoplasm;cytosol;mitochondrion"	"catalytic activity;nucleotide binding;protein binding;RNA binding;translation regulator activity"	Pf00186	"1719; 573971"	ENSG00000228716.6	"DHFR; DHFRP1"	"5; 18"	"Folate biosynthesis; Antifolate resistance; One carbon pool by folate; Metabolic pathways"	"Activation of E2F1 target genes at G1/S; Metabolism of folate and pterines; eNOS activation and regulation; Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation"	"Fluoropyrimidine Activity; Folate Metabolism; One Carbon Metabolism; Retinoblastoma (RB) in Cancer; Trans-sulfuration and one carbon metabolism; Nucleotide Metabolism"	23	0.614	0.464	0.744	-0.7	-1.11	-0.43	0.002889898	0.047118145	0.47941638	0.030057603	0.314630216	0.957927416	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	P35270	Sepiapterin reductase OS=Homo sapiens OX=9606 GN=SPR PE=1 SV=1	FAUX	3.471	6	1	1	1	261	28	8.05	2.07	1	"metabolic process;regulation of biological process"	"cytoplasm;cytosol"	"catalytic activity;nucleotide binding"	Pf00106	6697	ENSG00000116096.5	SPR	2	"Folate biosynthesis; Metabolic pathways"	"eNOS activation and regulation; Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation"		6													Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	1
High	Master Protein	Q8N130	Sodium-dependent phosphate transport protein 2C OS=Homo sapiens OX=9606 GN=SLC34A3 PE=1 SV=2	FAUX	3.466	1	1	5	1	599	63.5	8.27	8.83	1	"cellular homeostasis;transport"	"cytoplasm;membrane"	transporter activity	Pf02690	142680	ENSG00000198569.9	SLC34A3	9		"Type II Na+/Pi cotransporters; Defective SLC34A3 causes Hereditary hypophosphatemic rickets with hypercalciuria (HHRH)"		9	4.411	5.074	1.074	2.14	2.34	0.1	1E-17	3.54579E-06	0.527334976	1.41063E-15	0.000275961	0.97345236	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	Q9HBL8	NmrA-like family domain-containing protein 1 OS=Homo sapiens OX=9606 GN=NMRAL1 PE=1 SV=1	FAUX	3.462	4	1	2	1	299	33.3	7.52	4.98	1	"metabolic process;transport"	"cytoplasm;cytosol;nucleus"	protein binding	Pf00106, Pf02254, Pf05368, Pf13460	57407	"ENSG00000153406.13; ENSG00000274684.4"	NMRAL1	"16; CHR_HSCHR16_3_CTG1"		Urea cycle		4	1.073	0.794	0.75	0.1	-0.33	-0.42	0.979514823	0.619946929	0.496877079	0.998387812	0.980903674	0.957927416	High	High	High	Not Found	Not Found	Not Found	High	High	High	High	High	High	Not Found	Not Found	Not Found	High	High	High	High	High	High	Not Found	Not Found	Not Found	High	High	High	1
High	Master Protein	Q16891	MICOS complex subunit MIC60 OS=Homo sapiens OX=9606 GN=IMMT PE=1 SV=1	FAUX	3.45	5	2	2	2	758	83.6	6.48	0	2	"cell organization and biogenesis;cellular homeostasis"	"membrane;mitochondrion"	"protein binding;RNA binding"	Pf09731	10989	ENSG00000132305.20	IMMT	2		Cristae formation		3	1.066	3.613	3.584	0.09	1.85	1.84	0.994174288	0.000218373	4.97816E-07	0.999043351	0.006941803	4.36392E-05	Not Found	Not Found	Not Found	High	Not Found	High	High	High	High	Not Found	Not Found	Not Found	High	High	High	High	High	High	Not Found	Not Found	Not Found	High	High	High	High	High	High	1
High	Master Protein	Q9BSJ8	Extended synaptotagmin-1 OS=Homo sapiens OX=9606 GN=ESYT1 PE=1 SV=1	FAUX	3.444	1	1	1	1	1104	122.8	5.83	2.66	1	"metabolic process;transport"	"endoplasmic reticulum;membrane"	"metal ion binding;protein binding"	Pf00168	23344	ENSG00000139641.12	ESYT1	12		Glycosphingolipid metabolism		4													Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	1
High	Master Protein	Q9Y5Z4	Heme-binding protein 2 OS=Homo sapiens OX=9606 GN=HEBP2 PE=1 SV=1	FAUX	3.437	6	1	1	1	205	22.9	4.63	3.78	1	"cell organization and biogenesis;regulation of biological process;transport"	"cytoplasm;extracellular;mitochondrion;organelle lumen"	protein binding	Pf04832	23593	ENSG00000051620.10	HEBP2	6		Neutrophil degranulation		3	1.139	1.281	1.125	0.19	0.36	0.17	0.743990304	0.407743598	0.423504273	0.982227132	0.936691633	0.94847618	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	1
High	Master Protein	Q9HC35	Echinoderm microtubule-associated protein-like 4 OS=Homo sapiens OX=9606 GN=EML4 PE=1 SV=3	FAUX	3.433	2	2	2	2	981	108.8	6.4	2.81	2		"cytoplasm;cytoskeleton;membrane"	protein binding	Pf00400, Pf03451	27436	ENSG00000143924.18	EML4	2	Non-small cell lung cancer			1	1.042	1.51	1.411	0.06	0.59	0.5	0.953038518	0.199641893	0.103480762	0.998387812	0.743410743	0.546969742	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	1
High	Master Protein	O60884	DnaJ homolog subfamily A member 2 OS=Homo sapiens OX=9606 GN=DNAJA2 PE=1 SV=1	FAUX	3.43	4	2	5	2	412	45.7	6.48	4.09	2	"metabolic process;regulation of biological process;response to stimulus"	"cytosol;membrane"	"enzyme regulator activity;metal ion binding;nucleotide binding;protein binding"	Pf00226, Pf00684, Pf01556	10294	ENSG00000069345.11	DNAJA2	16	Protein processing in endoplasmic reticulum	HSP90 chaperone cycle for steroid hormone receptors (SHR)		4	0.956	0.777	0.854	-0.06	-0.36	-0.23	0.584082898	0.577543129	0.840224521	0.943240236	0.964138196	0.991557151	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	Q15041	ADP-ribosylation factor-like protein 6-interacting protein 1 OS=Homo sapiens OX=9606 GN=ARL6IP1 PE=1 SV=2	FAUX	3.427	5	1	2	1	203	23.3	9.32	5.52	1	"cell death;cell organization and biogenesis;regulation of biological process;transport"	"cytoplasm;cytosol;endoplasmic reticulum;membrane"	protein binding	Pf02453	23204	ENSG00000170540.14	ARL6IP1	16				0	0.988	1.226	1.21	-0.02	0.29	0.27	0.705136986	0.480233659	0.286171028	0.982227132	0.950241545	0.85847649	Not Found	Not Found	Not Found	High	High	High	High	High	High	Not Found	Not Found	Not Found	High	High	High	High	High	High	Not Found	Not Found	Not Found	High	High	High	High	High	High	1
High	Master Protein	Q15363	Transmembrane emp24 domain-containing protein 2 OS=Homo sapiens OX=9606 GN=TMED2 PE=1 SV=1	FAUX	3.405	4	1	3	1	201	22.7	5.17	7.22	1	"cell organization and biogenesis;regulation of biological process;transport"	"endoplasmic reticulum;Golgi;membrane"	protein binding	Pf01105	10959	ENSG00000086598.10	TMED2	12		"COPI-dependent Golgi-to-ER retrograde traffic; Cargo concentration in the ER; Pre-NOTCH Processing in Golgi; COPII (Coat Protein 2) Mediated Vesicle Transport; COPI-mediated anterograde transport"		17	1.445	1.862	1.281	0.53	0.9	0.36	0.113615755	0.062619194	0.202267268	0.478334108	0.376884053	0.752087683	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	Q9NZD2	Glycolipid transfer protein OS=Homo sapiens OX=9606 GN=GLTP PE=1 SV=3	FAUX	3.403	5	1	1	1	209	23.8	7.39	0	1	"metabolic process;transport"	"cytoplasm;cytosol;membrane"	"protein binding;transporter activity"	Pf08718	51228	ENSG00000139433.9	GLTP	12		Glycosphingolipid metabolism		4	0.979	0.855	0.846	-0.03	-0.23	-0.24	0.648772256	0.771250503	0.813471506	0.965021299	0.990871106	0.991557151	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	1
High	Master Protein	P39656	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit OS=Homo sapiens OX=9606 GN=DDOST PE=1 SV=4	FAUX	3.4	2	1	2	1	456	50.8	6.55	5.57	1	"metabolic process;response to stimulus;transport"	"endoplasmic reticulum;membrane"	"catalytic activity;protein binding"	Pf03345	1650	ENSG00000244038.9	DDOST	1	"N-Glycan biosynthesis; Protein processing in endoplasmic reticulum; Metabolic pathways"	"Advanced glycosylation endproduct receptor signaling; Asparagine N-linked glycosylation; Neutrophil degranulation; SRP-dependent cotranslational protein targeting to membrane"	AGE/RAGE pathway	13	1.247	1.36	1.09	0.32	0.44	0.12	0.351002437	0.321197274	0.492158377	0.825125108	0.873118619	0.957927416	High	High	High	Not Found	Not Found	Not Found	High	High	High	High	High	High	Not Found	Not Found	Not Found	High	High	High	High	High	High	Not Found	Not Found	Not Found	High	High	High	1
High	Master Protein	Q14118	Dystroglycan OS=Homo sapiens OX=9606 GN=DAG1 PE=1 SV=2	FAUX	3.398	2	1	2	1	895	97.4	8.56	5.81	1	"cell differentiation;cell organization and biogenesis;cellular component movement;metabolic process;regulation of biological process;response to stimulus;transport"	"cytoplasm;cytoskeleton;cytosol;extracellular;membrane;nucleus;organelle lumen"	"metal ion binding;protein binding;receptor activity;structural molecule activity"	Pf05454	1605	ENSG00000173402.11	DAG1	3	"Arrhythmogenic right ventricular cardiomyopathy (ARVC); Dilated cardiomyopathy; ECM-receptor interaction; Viral myocarditis; Hypertrophic cardiomyopathy (HCM)"	"ECM proteoglycans; Integrin cell surface interactions; Defective POMT1 causes MDDGA1, MDDGB1 and MDDGC1; Defective POMGNT1 causes MDDGA3, MDDGB3 and MDDGC3; Defective POMT2 causes MDDGA2, MDDGB2 and MDDGC2; Regulation of expression of SLITs and ROBOs; O-linked glycosylation; Non-integrin membrane-ECM interactions"	"Integrated Breast Cancer Pathway; Arrhythmogenic Right Ventricular Cardiomyopathy; Primary Focal Segmental Glomerulosclerosis FSGS"	25	1.655	1.448	0.879	0.73	0.53	-0.19	0.017180989	0.243281422	0.920334485	0.13279963	0.818310237	0.996998809	High	High	High	High	High	High	Not Found	Not Found	Not Found	High	High	High	High	High	High	Not Found	Not Found	Not Found	High	High	High	High	High	High	Not Found	Not Found	Not Found	1
High	Master Protein	P42785	Lysosomal Pro-X carboxypeptidase OS=Homo sapiens OX=9606 GN=PRCP PE=1 SV=1	FAUX	3.395	4	1	1	1	496	55.8	7.21	0	1	"defense response;metabolic process;regulation of biological process;response to stimulus;transport"	"membrane;vacuole"	"catalytic activity;protein binding"	Pf00561, Pf05576, Pf05577, Pf11144, Pf12697	5547	ENSG00000137509.10	PRCP	11	"Protein digestion and absorption; Renin-angiotensin system"	"Intrinsic Pathway of Fibrin Clot Formation; Neutrophil degranulation"		8													Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	1
High	Master Protein	Q9UHX1	Poly(U)-binding-splicing factor PUF60 OS=Homo sapiens OX=9606 GN=PUF60 PE=1 SV=1	FAUX	3.391	2	1	2	1	559	59.8	5.29	5.57	1	"cell death;cellular homeostasis;metabolic process;regulation of biological process"	nucleus	"catalytic activity;DNA binding;protein binding;RNA binding"	Pf00076, Pf13893, Pf14259	22827	"ENSG00000274081.4; ENSG00000179950.13"	PUF60	"8; CHR_HSCHR8_3_CTG7"	Spliceosome	mRNA Splicing - Major Pathway		5	0.767	1.059	1.437	-0.38	0.08	0.52	0.070704856	0.763504449	0.090284479	0.355413942	0.990871106	0.511062561	High	High	High	Not Found	Not Found	Not Found	High	High	High	High	High	High	Not Found	Not Found	Not Found	High	High	High	High	High	High	Not Found	Not Found	Not Found	High	High	High	1
High	Master Protein	O14562	Ubiquitin domain-containing protein UBFD1 OS=Homo sapiens OX=9606 GN=UBFD1 PE=1 SV=2	FAUX	3.391	3	1	1	1	309	33.4	5.77	2.78	1			"protein binding;RNA binding"	Pf00240, Pf14560	56061	ENSG00000103353.15	UBFD1	16				0	1.553	0.754	0.476	0.63	-0.41	-1.07	0.047003464	0.521603904	0.019461021	0.260333667	0.952676368	0.193495707	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	1
High	Master Protein	P39060	Collagen alpha-1(XVIII) chain OS=Homo sapiens OX=9606 GN=COL18A1 PE=1 SV=5	FAUX	3.389	1	1	1	1	1754	178.1	6.01	2.67	1	"cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus"	"extracellular;organelle lumen"	"metal ion binding;protein binding;structural molecule activity"	Pf01391, Pf01392, Pf06121, Pf06482, Pf13385	80781	ENSG00000182871.14	COL18A1	21	Protein digestion and absorption	"Collagen degradation; Activation of Matrix Metalloproteinases; Integrin cell surface interactions; Laminin interactions; Assembly of collagen fibrils and other multimeric structures; Collagen chain trimerization"		11	1.587	2.519	1.574	0.67	1.33	0.65	0.031523285	0.006958888	0.04264613	0.203280156	0.092936153	0.329631218	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	1
High	Master Protein	Q8TF05	Serine/threonine-protein phosphatase 4 regulatory subunit 1 OS=Homo sapiens OX=9606 GN=PPP4R1 PE=1 SV=1	FAUX	3.381	2	2	2	2	950	106.9	4.77	0	2	"metabolic process;regulation of biological process;response to stimulus"		"catalytic activity;enzyme regulator activity;protein binding"		9989	ENSG00000154845.15	PPP4R1	18				0	1.302	1.229	0.955	0.38	0.3	-0.07	0.270012031	0.475958865	0.839485835	0.734428	0.950241545	0.991557151	Not Found	Not Found	Not Found	High	High	High	High	High	High	Not Found	Not Found	Not Found	High	High	High	High	High	High	Not Found	Not Found	Not Found	High	High	High	High	High	High	1
High	Master Protein	Q8TCT9	Minor histocompatibility antigen H13 OS=Homo sapiens OX=9606 GN=HM13 PE=1 SV=1	FAUX	3.368	4	1	1	1	377	41.5	6.43	2.72	1	"cell organization and biogenesis;metabolic process"	"cell surface;endoplasmic reticulum;membrane"	"catalytic activity;protein binding"	Pf04258, Pf06550	81502	ENSG00000101294.16	HM13	20				0	0.939	1.701	1.783	-0.09	0.77	0.83	0.499844548	0.106920047	0.013092355	0.909920764	0.528049337	0.147012169	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	1
High	Master Protein	Q8N684	Cleavage and polyadenylation specificity factor subunit 7 OS=Homo sapiens OX=9606 GN=CPSF7 PE=1 SV=1	FAUX	3.356	2	1	3	1	471	52	8	6.61	1	"cell organization and biogenesis;metabolic process"	"membrane;nucleus"	"protein binding;RNA binding"	Pf00076, Pf14259	79869	ENSG00000149532.15	CPSF7	11	mRNA surveillance pathway	"Cleavage of Growing Transcript in the Termination Region ; Processing of Intronless Pre-mRNAs; mRNA 3'-end processing; mRNA Splicing - Major Pathway"		12	1.131	1.081	0.969	0.18	0.11	-0.05	0.7128758	0.720320302	0.797035341	0.982227132	0.990871106	0.991557151	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	P49755	Transmembrane emp24 domain-containing protein 10 OS=Homo sapiens OX=9606 GN=TMED10 PE=1 SV=2	FAUX	3.33	5	1	1	1	219	25	7.44	2.67	1	"cell organization and biogenesis;regulation of biological process;response to stimulus;transport"	"endoplasmic reticulum;Golgi;membrane"	protein binding	Pf01105	10972	ENSG00000170348.8	TMED10	14		"COPI-dependent Golgi-to-ER retrograde traffic; Cargo concentration in the ER; COPII (Coat Protein 2) Mediated Vesicle Transport; COPI-mediated anterograde transport"	mRNA Processing	14	1.225	1.357	1.107	0.29	0.44	0.15	0.433428335	0.323904701	0.456884549	0.873720785	0.873118619	0.949528938	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	1
High	Master Protein	O43813	Glutathione S-transferase LANCL1 OS=Homo sapiens OX=9606 GN=LANCL1 PE=1 SV=1	FAUX	3.317	4	2	4	2	399	45.3	7.75	8.27	2	"regulation of biological process;response to stimulus"	"cytoplasm;membrane"	"metal ion binding;protein binding;receptor activity;signal transducer activity"	Pf05147	10314	ENSG00000115365.11	LANCL1	2				0	0.951	0.754	0.793	-0.07	-0.41	-0.33	0.554396295	0.522378917	0.635773892	0.931630495	0.952676368	0.991557151	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	P30622	CAP-Gly domain-containing linker protein 1 OS=Homo sapiens OX=9606 GN=CLIP1 PE=1 SV=2	FAUX	3.311	1	1	1	1	1438	162.1	5.36	2.68	1	"cell differentiation;cell organization and biogenesis;metabolic process;regulation of biological process;transport"	"chromosome;cytoplasm;cytoskeleton;cytosol;endosome;membrane"	"catalytic activity;metal ion binding;motor activity;protein binding"	Pf01302, Pf01576, Pf02463, Pf04111, Pf05557, Pf05622, Pf05667, Pf05701, Pf06160, Pf07111, Pf10174, Pf12128, Pf13166, Pf15254	6249	ENSG00000130779.19	CLIP1	12	mTOR signaling pathway	"Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal; Separation of Sister Chromatids; Resolution of Sister Chromatid Cohesion; RHO GTPases Activate Formins; RHO GTPases activate IQGAPs"	Regulation of Microtubule Cytoskeleton	19	0.936	0.95	0.953	-0.1	-0.07	-0.07	0.503624283	0.999500976	0.843945618	0.909920764	1	0.991557151	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	1
